Date,BRK
2017-09-29,0.0121201
2017-10-31,0.02085608
2017-11-30,0.03932684
2017-12-29,0.02092628
2018-01-31,0.08660967
2018-02-28,-0.0405877
2018-03-29,-0.03593876
2018-04-30,-0.02825142
2018-05-31,-0.01186995
2018-06-29,-0.01796654
2018-07-31,0.06917455
2018-08-31,0.04725584
2018-09-28,0.01329972
2018-10-31,-0.03842203
2018-11-30,0.0594563
2018-12-31,-0.06134969
2019-01-31,0.01797386
2019-02-28,-0.02985554
2019-03-29,-0.00325943
2019-04-30,0.07922916
2019-05-31,-0.0861942
2019-06-28,0.07166902
2019-07-31,-0.03041935
2019-08-30,-0.01810371
2019-09-30,0.02888365
2019-10-31,0.02279112
2019-11-29,0.03623298
2019-12-31,0.02751899
2020-01-31,-0.01058332
2020-02-28,-0.0800605
2020-03-31,-0.12001449
2020-04-30,0.03566176
2020-05-29,-0.01086262
2020-06-30,-0.04069767
2020-07-31,0.0985073
2020-08-31,0.11554979
2020-09-30,-0.02307669
2020-10-30,-0.05469042
2020-11-30,0.13615864
2020-12-31,0.01200798
2021-01-29,-0.01068097
2021-02-26,0.05951761
2021-03-31,0.05793513
2021-04-30,0.06947851
2021-05-28,0.05696967
2021-06-30,-0.03990594
2021-07-30,0.00071428
2021-08-31,0.02625925
2021-09-30,-0.04308214
2021-10-29,0.05231918
2021-11-30,-0.03701993
2021-12-31,0.08104568
2022-01-31,0.04247751
2022-02-28,0.01362267
2022-03-31,0.11070022
2022-04-29,-0.08428669
2022-05-31,-0.02124541
2022-06-30,-0.13732729
2022-07-29,0.10453601
2022-08-31,-0.0672836
2022-09-30,-0.03521889
2022-10-31,0.09491475
2022-11-30,0.07915964
2022-12-30,-0.02408812
2023-01-31,0.0091505
2023-02-28,-0.02003151
2023-03-31,0.00447657
2023-04-28,0.08006869
2023-05-31,-0.02954184
2023-06-30,0.06103393
2023-07-31,0.03396999
2023-08-31,0.02115243
2023-09-29,-0.02788972
2023-10-31,-0.02568691
2023-11-30,0.05421716
